,en,jp,zh,th,es,vi,id
RequiredMessage,Required,必須,必填,ที่จำเป็น,Requerido,Yêu cầu,Diperlukan
Reset,Reset,リセット,重置,รีเซ็ต,Reiniciar,Cài lại,Reset
ResetPassword,Reset Password,パスワードを再設定する,重新設密碼,รีเซ็ตรหัสผ่าน,Restablecer la contraseña,Đặt lại mật khẩu,Atur Ulang Kata Sandi
ResetPasswordDialog,"Please use a valid license key to reset the administrator password. If you are a regular user, kindly contact the administrator for assistance in changing your password.",管理者パスワードをリセットするには、有効なライセンスキーを使用してください。一般のユーザーの場合は、パスワードを変更するために管理者にご連絡ください。,請遵循以下程序以使用有效的憑證進行管理者密碼重置。若您屬一般使用者身份，敬請聯絡系統管理員協助進行密碼更改。,โปรดใช้รหัสลิขสิทธิ์ที่ถูกต้องเพื่อรีเซ็ตรหัสผ่านผู้ดูแลระบบ หากคุณเป็นผู้ใช้ทั่วไป โปรดติดต่อผู้ดูแลระบบเพื่อขอความช่วยเหลือในการเปลี่ยนรหัสผ่านของคุณ,"Utilice una clave de licencia válida para restablecer la contraseña de administrador. Si es un usuario habitual, comuníquese con el administrador para obtener ayuda para cambiar su contraseña.","Vui lòng sử dụng khóa cấp phép hợp lệ để đặt lại mật khẩu quản trị viên. Nếu bạn là người dùng thường xuyên, vui lòng liên hệ với quản trị viên để được hỗ trợ thay đổi mật khẩu.","Silakan gunakan kunci lisensi yang valid untuk mengatur ulang kata sandi administrator. Jika Anda adalah pengguna biasa, silakan hubungi administrator untuk bantuan dalam mengubah kata sandi Anda."
Restart,RESTART,再起動,重新開機,เริ่มต้นใหม่,REANUDAR,KHỞI ĐỘNG LẠI,MENGULANG KEMBALI
RestartDialog,"Pressing ""Confirm"" will initiate a system reboot. Kindly await for a brief period, then refresh the page to proceed with the login.",「確認」ボタンを押すと、システムが再起動いたします。しばらくお待ちいただき、その後、ページをリフレッシュして再度ログインをお願いいたします。,點擊「確認」後，系統將進行重新啟動。請稍候片刻，隨後請重新整理頁面以進行登入。,"การกด ""ยืนยัน"" จะเป็นการเริ่มต้นระบบรีบูต กรุณารอสักครู่ จากนั้นรีเฟรชหน้าเพื่อดำเนินการเข้าสู่ระบบต่อ","Al presionar ""Confirmar"" se iniciará un reinicio del sistema. Espere un breve período y luego actualice la página para continuar con el inicio de sesión.","Nhấn ""Xác nhận"" sẽ bắt đầu khởi động lại hệ thống. Vui lòng đợi trong một khoảng thời gian ngắn, sau đó làm mới trang để tiến hành đăng nhập.","Menekan ""Konfirmasi"" akan memulai reboot sistem. Mohon tunggu sebentar, lalu muat kembali halaman untuk melanjutkan login."
RestartTitle,System Reboot Notification,システム再起動のお知らせ,系統重啟提示,การแจ้งเตือนการรีบูตระบบ,Notificación de reinicio del sistema,Thông báo khởi động lại hệ thống,Pemberitahuan Reboot Sistem
RetentionDay,Face picture retention days,顔写真の保存日数,人臉圖片保留天數,วันเก็บภาพใบหน้า,Días de retención de imágenes faciales,Số ngày lưu ảnh khuôn mặt,Hari retensi gambar wajah
Retry,Retry,リトライ,重試,ลองอีกครั้ง,Rever,Thử lại,Mencoba kembali
Return,Return,戻る,返回,กลับ,Devolver,Trở lại,Kembali
Role,Role,役割,權限,บทบาท,Role,Vai trò,Peran
RunningTime,Execution time,実行時間,執行時間,เวลาดำเนินการ,Tiempo de ejecución,Thời gian thực hiện,Waktu pelaksanaan
Save,Save,保存,儲存,บันทึก,Ahorrar,Cứu,Simpan
SaveToAlbum,Add to album,アルバムに追加します,加到相簿,เพิ่มลงในอัลบั้ม,Añadir al álbum,Thêm vào album,Tambahkan ke album
SaveToAlbumDialog,"Users can add specific photos to an album, and the photos within the album are used for future facial recognition. When the system detects a face, it compares it to the photos in the album.",ユーザーは特定の写真をアルバムに追加し、アルバム内の写真は将来の顔認識に使用されます。システムが顔を検出した際、アルバム内の写真と比較します。,使用者可以將特定圖片新增至相簿，這些相簿中的圖片可用於將來的人臉比對。當系統偵測到人臉時，將使用相簿中的圖片進行比對。,ผู้ใช้สามารถเพิ่มรูปภาพที่ต้องการลงในอัลบั้มได้ และรูปภาพภายในอัลบั้มจะถูกนำมาใช้เพื่อการจดจำใบหน้าในอนาคต เมื่อระบบตรวจพบใบหน้าก็จะเปรียบเทียบกับภาพถ่ายในอัลบั้ม,"Los usuarios pueden agregar fotos específicas a un álbum y las fotos dentro del álbum se utilizan para el reconocimiento facial futuro. Cuando el sistema detecta un rostro, lo compara con las fotos del álbum.","Người dùng có thể thêm ảnh cụ thể vào album và ảnh trong album sẽ được sử dụng để nhận dạng khuôn mặt trong tương lai. Khi hệ thống phát hiện một khuôn mặt, nó sẽ so sánh khuôn mặt đó với ảnh trong album.","Pengguna dapat menambahkan foto tertentu ke album, dan foto di dalam album tersebut digunakan untuk pengenalan wajah di masa mendatang. Saat sistem mendeteksi wajah, sistem akan membandingkannya dengan foto di album."
SaveToPdfDialog,"Users can select multiple specific video clips and export them as a PDF document with a customized PDF filename. This allows you to conveniently combine several video clips into a single PDF file, tailored to your preferences.",ユーザーは複数の特定のビデオクリップを選択し、PDFドキュメントとしてエクスポートでき、カスタマイズされたPDFファイル名を指定できます。これにより、複数のビデオクリップを簡単に1つのPDFファイルに結合でき、お好みに合わせた使用が可能です。,使用者可自行選擇多個特定影像片段，將其匯出成 PDF 文件，並自訂 PDF 檔名。這使您能方便地將多個影像片段整合為一個 PDF 文件，以滿足您的需求。,ผู้ใช้สามารถเลือกคลิปวิดีโอที่ต้องการได้หลายคลิปและส่งออกเป็นเอกสาร PDF พร้อมชื่อไฟล์ PDF ที่ปรับแต่งเอง ซึ่งจะทำให้คุณสามารถรวมคลิปวิดีโอหลาย ๆ คลิปไว้ในไฟล์ PDF ไฟล์เดียวได้อย่างสะดวก โดยปรับให้เหมาะกับความต้องการของคุณ,"Los usuarios pueden seleccionar varios videoclips específicos y exportarlos como un documento PDF con un nombre de archivo PDF personalizado. Esto le permite combinar cómodamente varios clips de vídeo en un único archivo PDF, adaptado a sus preferencias.","Người dùng có thể chọn nhiều video clip cụ thể và xuất chúng dưới dạng tài liệu PDF với tên tệp PDF tùy chỉnh. Điều này cho phép bạn kết hợp nhiều video clip thành một tệp PDF một cách thuận tiện, phù hợp với sở thích của bạn.","Pengguna dapat memilih beberapa klip video tertentu dan mengekspornya sebagai dokumen PDF dengan nama file PDF yang disesuaikan. Ini memungkinkan Anda dengan mudah menggabungkan beberapa klip video ke dalam satu file PDF, disesuaikan dengan preferensi Anda."
Search,Search,検索,搜尋,ค้นหา,Buscar,Tìm kiếm,Cari
Select,Select,選択,選擇,เลือก,Seleccionar,Lựa chọn,Pilih
SelectAll,Select all,すべて選択,全選,เลือกทั้งหมด,Seleccionar todo,Chọn tất cả,Pilih Semua
SelectTargetPrompt,"Please select one face from the left face wall. Then, select one of the similar faces listed in this panel to start the investigation.",左の顔の壁から1つの顔を選択してください。次に、このパネルにリストされている同様の顔のいずれかを選択して、調査を開始します。,請從左邊的人臉牆選擇一張臉，再從本面板列出相近的人臉中選取一張，以展開調查,กรุณาเลือกหนึ่งหน้าจากผนังด้านซ้าย จากนั้นเลือกใบหน้าที่คล้ายกันที่แสดงในแผงนี้เพื่อเริ่มการตรวจสอบ,"Seleccione una cara de la pared de la izquierda. Luego, seleccione una de las caras similares enumeradas en este panel para comenzar la investigación.","Vui lòng chọn một mặt từ bức tường phía bên trái. Sau đó, chọn một trong những khuôn mặt tương tự được liệt kê trong bảng này để bắt đầu điều tra.","Silakan pilih satu wajah dari dinding sisi kiri. Kemudian, pilih salah satu wajah serupa yang tercantum di panel ini untuk memulai investigasi."
Sensitivity,Sensitivity,感度,靈敏度,ความไว,Sensibilidad,Nhạy cảm,Sensitivitas
SingleFileTime,Single file time (minutes),単一ファイル時間 (分),單一文件時間（分鐘）,เวลาไฟล์เดียว (นาที),Tiempo de una sola fila (minutos),Thời gian một tập tin (phút),Waktu file tunggal (menit)
Small,Small,小さい,小,เล็ก,Pequeño,Bé nhỏ,Kecil
Start,Start,始める,開始,เริ่ม,Comenzar,Bắt đầu,Mulai
StartTime,Start time,開始時間,開始時間,เวลาเริ่มต้น,Hora de inicio,Thời gian bắt đầu,Waktu mulai
Status,Status,状態,狀態,สถานะ,Estado,Trạng thái,Status
Stop,Stop,停止,停止,หยุด,Detener,Dừng lại,Berhenti
Subject,Subject,主題,標題,เรื่อง,Sujeto,Chủ thể,Subjek
Successful,Successful,成功した,成功,ประสบความสำเร็จ,Exitoso,Thành công,Sukses
Summary,Summary,まとめ,總攬,สรุป,Resumen,Bản tóm tắt,Ringkasan
Switch,Switch,スイッチ,切換,สวิตช์,Cambiar,Công tắc,Alihkan
System,System,システム,系統,ระบบ,Sistema,Hệ thống,Sistem
Target,Target,ターゲット,目標,เป้า,Objetivo,Mục tiêu,Target
TargetScore,Score,スコア,分數,คะแนน,Puntaje,Điểm,Skor
TaskName,Task,タスク,任務,งาน,Tarea,Nhiệm vụ,Task
TimeRange,Time range,時間範囲,搜尋時段,ช่วงเวลา,Intervalo de tiempo,Phạm vi thời gian,Rentang waktu
TimeTitle,Time,時間,時間,เวลา,Tiempo,Thời gian,Waktu
Title,Title,タイトル,標題,ชื่อ,Título,Tiêu đề,Judul
TrialDays,Trial days,試用日,試用天數,วันทดลองงาน,Días de prueba,ngày dùng thử,Hari percobaan
UnitDay,day,日,天,วัน,día,ngày,hari
UnitHour,hr.,時,時,ชม.,hora,giờ.,jam.
UnitMin,min.,分,分,นาที,mín.,phút.,menit.
UnitSec,sec.,秒,秒,วินาที,segundo.,giây.,detik.
Upload,Upload,アップロード,上傳,ที่อัพโหลด,Subir,Tải lên,Upload
UploadDialog,"Users can integrate images into the system by uploading them to the album, making them readily available for use in other functions.",ユーザーはアルバムに画像をアップロードし、他の機能で手軽に利用できるようにシステムに統合できます。,使用者可透過上傳圖片至相簿，將圖片添加至系統，以便在其他功能中輕鬆應用。,ผู้ใช้สามารถรวมภาพเข้าในระบบได้โดยการอัพโหลดเข้าอัลบั้ม ทำให้พร้อมสำหรับใช้ในฟังก์ชั่นอื่นๆ,"Los usuarios pueden integrar imágenes en el sistema cargándolas en el álbum, dejándolas disponibles para su uso en otras funciones.","Người dùng có thể tích hợp hình ảnh vào hệ thống bằng cách tải chúng lên album, giúp chúng sẵn sàng sử dụng cho các chức năng khác.","Pengguna dapat mengintegrasikan gambar ke dalam sistem dengan menguploadnya ke album, sehingga dapat digunakan dalam fungsi lain."
UploadFile,Upload File,アップロードファイル,上傳照片,อัพโหลดไฟล์,Subir archivo,Cập nhật dử liệu,Upload data
UploadMode,Photo upload tool,写真アップロードツール,照片上傳工具,เครื่องมืออัพโหลดรูปภาพ,Herramienta para subir fotos,Công cụ tải ảnh lên,Alat upload foto
UploadSuccess,Upload Success,アップロード成功,上傳成功,อัปโหลดสำเร็จ,Subida exitosa,Tải lên thành công,Upload Sukses
User,User,ユーザー,使用者,ผู้ใช้,Usuario,Người dùng,Pengguna
Username,User Name,ユーザー名,帳號,ชื่อผู้ใช้,Nombre de usuario,Tên tài khoản,Nama Pengguna
UserTitle,Users,ユーザー,使用者列表,ผู้ใช้,Usuarios,Người dùng,Pengguna
Version,Version,バージョン,版本,เวอร์ชัน,Versión,Phiên bản,Versi
VideoArchiveDialog,"Users can customize a name, select multiple specified video clips, and save them as a downloadable web page. This allows you to effortlessly capture and share multiple video clips, catering to your needs.",ユーザーは名前をカスタマイズし、複数の特定のビデオクリップを選択し、それらをダウンロード可能なウェブページとして保存できます。これにより、複数のビデオクリップを簡単にキャプチャし、共有でき、あなたのニーズに合ったものになります。,使用者可自訂名稱，選取多個指定影像片段，並將其儲存為可下載的網頁。這能讓您輕鬆擷取並分享多個影像片段，方便您的需求。,ผู้ใช้สามารถปรับแต่งชื่อ เลือกคลิปวิดีโอที่ระบุหลายรายการ และบันทึกเป็นหน้าเว็บที่ดาวน์โหลดได้ ช่วยให้คุณสามารถจับภาพและแชร์คลิปวิดีโอหลายรายการได้อย่างง่ายดาย ตามความต้องการของคุณ,"Los usuarios pueden personalizar un nombre, seleccionar varios videoclips específicos y guardarlos como una página web descargable. Esto le permite capturar y compartir sin esfuerzo múltiples clips de vídeo, satisfaciendo sus necesidades.","Người dùng có thể tùy chỉnh tên, chọn nhiều video clip được chỉ định và lưu chúng dưới dạng trang web có thể tải xuống. Điều này cho phép bạn dễ dàng quay và chia sẻ nhiều video clip, đáp ứng nhu cầu của bạn.","Pengguna dapat menyesuaikan nama, memilih beberapa klip video tertentu, dan menyimpannya sebagai halaman web yang dapat didownload. Hal ini memungkinkan Anda dengan mudah menangkap dan berbagi beberapa klip video, sesuai dengan kebutuhan Anda."
VideoArchiveTitle,Download HTML Video Archive,HTMLビデオアーカイブをダウンロード,下載 HTML 錄影資料,ดาวน์โหลดเอกสารวิดีโอ HTML,Descargar archivo de vídeo HTML,Tải xuống kho lưu trữ video HTML,Download Arsip Video HTML
VideoSource,Video Source,ビデオソース,影像來源,แหล่งที่มาของวิดีโอ,Fuente de vídeo,Nguồn video,Sumber Video
VideoSourceTitle,Video source settings,ビデオソース設定,影像來源設定,การตั้งค่าแหล่งวิดีโอ,Configuración de fuente de vídeo,Cài đặt nguồn video,Pengaturan sumber video
VmsBookmark,VMS Notification,VMSのお知らせ,VMS 通知,การแจ้งเตือน VMS,Notificación de VMS,Thông báo VMS,Pemberitahuan VMS
WatchListScore,Watch-List Score,ウォッチリストスコア,觀察名單分數,คะแนนเฝ้าดูรายการ,Puntuación de la lista de vigilancia,Điểm danh sách theo dõi,Skor Daftar Pantauan
Yes,Yes,はい,是,ใช่,Sí,Đúng,Ya
ReportBy,Report By,報告者,報告者,รายงานโดย,Informe por,Báo cáo bởi,Laporan oleh
CreateDate,Create Date,登録日,建立時間,วันที่สร้าง,Fecha de Creación,Tạo ngày,Tanggal Pembuatan
InvestigationPeriod,Investigation Period,調査期間,調查區間,ช่วงเวลาการสืบสวน,Período de investigación,Khoảng thời gian điều tra,Periode Investigasi
InvestigationCamera,Investigation Camera,調査カメラ,調查攝影機,กล้องสำรวจ,Cámara de Investigación,Máy ảnh điều tra,Kamera Investigasi
InvestigationReport,Investigation Report,調査報告,調查報告,รายงานการสืบสวน,Informe de Investigación,Báo cáo điều tra,Laporan Investigasi
CaptureThreshold,Capture Threshold ,キャプチャ閾値 ,抓拍閾值,ค่าเกณฑ์การจับภาพ,Umbral de Captura,Ngưỡng Chụp Ảnh,Ambang Penangkapan
Unlimited,Unlimited,無制限,不限,ไม่จำกัด,Ilimitado,Không giới hạn,Tidak terbatas
Using,In Use,使用中,使用中,กำลังใช้งาน,En uso,Đang sử dụng,Sedang digunakan
ReloginHint,Do you need to log in to airaTrack again?,再度 airaTrack にログインしますか？,您是否要重新登入 airaTrack？,คุณต้องการเข้าสู่ระบบ airaTrack อีกครั้งหรือไม่?,¿Necesita iniciar sesión en airaTrack nuevamente?,Bạn có cần đăng nhập lại vào airaTrack không?,Apakah Anda perlu masuk lagi ke airaTrack?
